cluster,atm_count,total_tickets,mean_lat,mean_lon
0,1,4,69.323538,63.781506
1,7,14,68.66289885714285,64.65267628571429
2,11,18,68.43185227272728,64.91617954545455
3,4,7,69.16882975,64.0027745
4,1,2,69.194317,63.888834
5,17,39,68.42706223529412,64.92757417647059
6,5,10,68.5938152,64.7373828
7,11,21,68.63869345454545,64.7510519090909
8,11,25,68.60046963636364,64.72146118181819
9,7,14,68.67582142857142,65.20293699999999
10,17,37,68.42375329411765,64.92310535294118
11,2,2,69.042164,64.151841
12,1,4,69.103001,64.072795
13,1,2,68.596922,64.722003
14,10,12,68.59609329999999,64.735615
15,1,2,68.45618,64.90544
16,3,5,68.656893,64.693813
17,1,2,68.497398,64.883934
18,10,18,68.5107297,64.871274
19,9,20,68.56647366666667,64.76050844444444
20,10,16,68.48167249999999,64.89418500000001
21,2,7,68.569572,64.756113
22,3,12,68.488587,64.890692
23,7,15,68.90998742857143,64.33025871428572
24,7,17,68.60706614285714,64.71831157142857
25,4,6,68.80019825,64.46928575
26,1,1,68.655882,64.657907
27,14,32,68.58055857142857,64.72123642857143
28,1,3,69.095252,64.071723
29,1,0,69.096043,64.115053
30,2,1,69.179419,64.239153
31,2,3,68.918986,64.317788
32,8,12,69.25256537499999,63.843545625
33,22,41,69.0996570909091,64.07917368181819
34,3,8,68.61244066666667,64.72931133333333
35,1,1,68.445218,64.913541
36,2,3,68.630179,64.716163
37,7,16,68.44417685714286,64.90941228571428
38,11,19,68.612305,64.74150309090909
39,13,34,68.68407392307692,65.25764953846154
40,5,10,69.3125962,63.702812800000004
41,2,6,68.396054,65.005958
42,1,0,69.282317,63.789892
43,7,10,68.45262157142858,64.90618042857143
44,1,0,68.655595,64.649427
45,8,21,68.495077875,64.89013225000001
46,5,15,68.6602614,64.6599644
47,2,8,68.5500475,64.77966900000001
48,1,1,68.580131,64.728317
49,2,2,68.56357750000001,64.7519085
50,2,5,68.555936,64.765951
51,3,2,68.66981733333334,65.26160066666667
52,1,3,68.618322,64.754961
53,7,12,68.39061285714286,64.98812728571428
54,1,1,69.286314,63.784431
55,1,4,68.413883,64.955868
56,1,4,69.317627,63.698158
57,1,2,68.577718,64.724504
58,11,20,68.58897736363636,64.72268681818183
59,3,11,69.09528766666666,64.079258
60,1,1,69.242231,63.837003
61,1,4,69.165313,64.247231
62,8,15,68.69970225,64.587783375
63,1,1,68.58524,64.730785
64,2,3,68.419045,64.924567
65,1,3,68.617447,64.723852
66,5,8,69.106331,64.0608348
67,1,2,68.463161,64.902713
68,1,4,68.416599,65.006435
69,1,0,69.320253,63.703148
70,1,4,68.405268,64.981694
71,1,2,68.604614,64.732833
72,2,2,68.4092745,65.00259399999999
73,15,33,68.58554993333334,64.72449193333334
74,1,0,69.118564,64.121861
75,6,12,68.43210333333333,64.92841849999999
76,1,1,69.151299,64.013146
77,1,2,68.62155,64.702053
78,1,0,68.447866,64.909309
79,2,0,68.605651,64.750007
80,1,3,68.431497,64.922014
81,3,7,69.18287333333333,63.97376499999999
82,2,2,68.423387,64.935712
83,1,0,68.676652,64.604182
84,2,6,68.98807500000001,64.226823
85,1,3,68.569739,64.747359
86,4,10,68.911112,64.33546125
87,16,37,68.59428175000001,64.7238675625
88,1,4,68.904933,64.337316
89,8,15,68.914047625,64.3382325
90,1,4,68.913472,64.331155
91,1,1,68.619166,64.721852
92,3,7,68.46737033333333,64.89869800000001
93,2,4,69.1996745,63.887975
94,1,4,68.497522,64.8934
95,1,3,68.447007,64.904058
96,1,4,68.915973,64.323105
97,1,3,68.618044,64.742392
98,1,1,68.768053,64.499422
99,1,0,68.512835,64.876446
100,2,1,68.589797,64.740664
101,2,3,68.573714,64.7304055
102,1,4,68.591782,64.728355
103,1,2,68.400401,64.965484
104,3,11,68.60004766666667,64.73529366666666
105,1,2,68.658786,64.652084
106,1,3,68.447493,64.965827
107,4,4,69.14639225,64.03855899999999
108,1,0,68.706111,64.586839
109,1,1,68.630199,64.696121
110,1,0,68.450054,64.906917
111,2,7,68.410057,64.938003
112,1,1,68.400547,65.004351
113,3,8,68.441217,64.912513
114,1,4,68.493756,64.901405
115,1,2,69.098681,64.097981
116,1,2,68.417634,64.92945
117,2,2,69.302413,63.749839
118,4,13,68.606564,64.732652
119,1,1,68.473675,64.893884
120,1,4,68.59904,64.729359
121,1,0,68.913499,64.348258
122,1,0,68.448459,64.940845
123,1,4,68.627295,64.718579
124,1,2,69.103331,64.0575
125,1,2,68.515205,64.851011
126,1,3,68.623591,64.714453
127,5,11,68.57161060000001,64.73455879999999
128,1,2,68.612362,64.706454
129,1,3,68.485577,64.893914
130,2,2,68.68143900000001,64.6010885
131,1,3,69.114713,64.101777
132,1,1,69.325829,63.697092
133,1,1,68.594306,64.754031
134,1,0,68.570262,64.804215
135,1,0,69.179453,63.974106
136,1,0,68.632214,64.699143
137,1,1,68.563884,64.764531
138,1,4,68.652881,64.658051
139,1,0,68.638243,64.72518
140,1,4,69.15751,64.17691
141,1,4,69.097601,64.083258
142,1,0,68.405832,64.998941
143,1,1,68.539944,64.806959
144,1,0,68.422294,64.963647
145,1,3,68.403589,64.963346
146,2,2,68.39569549999999,64.97739250000001
147,1,2,69.099621,64.068965
148,1,1,68.414823,64.950929
149,2,1,68.398757,64.993776
150,2,3,68.673705,65.289081
151,1,1,68.404824,64.975578
152,1,4,68.9154,64.348941
153,1,1,68.578774,64.738438
154,1,4,68.522092,64.873017
155,1,1,68.907899,64.334288
156,1,2,69.121611,64.07216
157,1,4,68.598452,64.715029
158,1,2,69.319468,64.292923
159,1,1,69.254988,63.830677
160,1,0,68.412302,64.965907
161,1,4,68.731026,64.548746
162,1,0,68.470342,64.894815
163,1,4,69.101272,64.092011
164,1,0,68.742447,64.536705
165,1,0,68.681033,65.212888
166,1,3,68.587454,64.716915
167,1,1,69.251845,63.834779
168,1,4,68.576009,64.726838
169,1,2,68.671373,65.297515
170,1,0,68.635118,64.698897
171,1,0,68.479848,64.895485
172,1,2,68.452999,64.918857
173,2,5,68.5900785,64.7309105
174,1,2,68.483578,64.894156
175,1,4,68.627887,64.695188
176,1,1,68.435994,64.915725
177,1,4,68.604811,64.71888
178,1,3,68.589084,64.759918
179,1,1,68.558054,64.773981
180,1,1,68.452392,64.953504
181,1,0,68.576611,64.748789
182,1,2,68.418891,64.966158
183,1,3,69.110391,64.092957
184,2,6,68.606117,64.738261
185,1,1,68.456221,64.922167
186,1,3,68.425184,64.966882
187,1,4,68.918654,64.325831
188,1,1,69.160446,64.003326
189,2,4,68.567558,64.800487
190,1,0,68.460992,64.96711
191,1,1,68.584427,64.760887
192,1,0,68.434833,64.920951
193,1,1,68.516887,64.992152
194,1,4,68.449677,64.946071
195,1,1,68.625298,64.746812
196,1,0,68.66237,64.672502
197,1,2,68.500872,64.891266
198,1,0,68.517664,64.847325
199,1,4,68.697017,64.589446
200,1,4,68.542995,64.800823
201,1,4,68.459521,64.908914
202,1,2,68.925888,64.313902
203,1,1,68.512,64.8647
204,1,2,69.165039,63.995624
205,1,3,68.421241,64.937957
206,1,4,69.257137,63.828349
207,1,4,68.600429,64.714147
208,1,3,68.411603,64.950443
209,1,0,69.087876,64.098811
